모델명,연비,연료타입,차급,외형,엔진,가격,이미지,출력
2023 토요타 RAV4(5세대),15.1 ~ 16.1km/ℓ,가솔린/하이브리드,준중형,SUV,FF,5700,http://file.carisyou.com/upload/2022/04/13/FILE_202204130202152340.png,178.0
2024 기아 니로 플러스,5.3km/kwh,전기,소형,SUV,2WD,4850,http://file.carisyou.com/upload/2022/05/12/FILE_202205120134086170.png,
2023 현대 포터2,8.6 ~ 9.5km/ℓ,디젤,소형,트럭,FR,4013,http://file.carisyou.com/upload/2018/09/19/FILE_201809191103077550.png,133.0
2024 쉐보레 트랙스 크로스오버(9BQC),12.0 ~ 12.7km/ℓ,가솔린,준중형,SUV,FF,2880,http://file.carisyou.com/upload/2023/03/22/FILE_202303220224424070.png,139.0
2023 재규어 F-타입,9.8km/ℓ,가솔린,준중형,"컨버터블,쿠페외형전체>",FR,1351,http://file.carisyou.com/upload/2023/02/03/FILE_202302030133592290.png,300.0
2023 토요타 GR 수프라(5세대),10.2km/ℓ,가솔린,준중형,쿠페,FR,7980,http://file.carisyou.com/upload/2019/01/15/FILE_201901151111513480.png,387.0
2024 기아 니로 EV(SG2),5.3km/kwh,전기,소형,SUV,2WD,5120,http://file.carisyou.com/upload/2021/11/26/FILE_202111260158469710.png,
2024 기아 니로(SG2),19.1 ~ 20.8km/ℓ,가솔린/하이브리드,소형,SUV,FF,3376,http://file.carisyou.com/upload/2023/09/22/FILE_202309220944129270.png,105.0
2023 현대 포터2 일렉트릭,2.7 ~ 3.1km/kwh,전기,소형,트럭,2WD,4986,http://file.carisyou.com/upload/2019/12/11/FILE_201912111011447610.png,
2023 BMW iX1,4.2km/kwh,전기,준중형,SUV,4WD,6930,http://file.carisyou.com/upload/2023/01/26/FILE_202301261100344100.png,
2023 현대 코나 하이브리드(SX2),18.1 ~ 19.8km/ℓ,가솔린/하이브리드,소형,SUV,FF,3495,http://file.carisyou.com/upload/2023/01/18/FILE_202301181038184400.png,105.0
2023 현대 코나(SX2),11.2 ~ 13.6km/ℓ,가솔린,소형,SUV,FF,3323,http://file.carisyou.com/upload/2023/01/19/FILE_202301190921384420.png,149.0
2023 대창모터스 다니고 EV,3.1 ~ 3.4km/kwh,전기,소형,트럭,2WD,5780,http://file.carisyou.com/upload/2022/08/18/FILE_202208180430270230.png,
2023 포드 레인저(2세대),9.0 ~ 10.1km/ℓ,디젤,대형,픽업트럭,4WD,7990,http://file.carisyou.com/upload/2023/01/16/FILE_202301160202008150.png,205.0
2023 아우디 Q2,16.7km/ℓ,디젤,소형,SUV,FF,4440,http://file.carisyou.com/upload/2023/01/20/FILE_202301200233517170.png,150.0
2023 현대 쏠라티,-,디젤,준중형,버스,FR,7144,http://file.carisyou.com/upload/2019/04/24/FILE_201904240343208140.png,170.0
2023 신위안 이티밴,4.4km/kwh,전기,소형,버스,2WD,3990,http://file.carisyou.com/upload/2023/02/21/FILE_202302210141074630.png,
2023 토요타 시에나(4세대),13.7 ~ 14.5km/ℓ,가솔린/하이브리드,대형,RV,4WD,7060,http://file.carisyou.com/upload/2022/02/08/FILE_202202080453115700.png,189.0
2023 동풍소콘 마사다 트럭,3.5km/kwh,전기,소형,트럭,2WD,3699,http://file.carisyou.com/upload/2023/01/04/FILE_202301040444273980.png,
2023 동풍소콘 마사다 밴,3.8km/kwh,전기,소형,버스,2WD,3980,http://file.carisyou.com/upload/2023/01/04/FILE_202301040446228760.png,
2023 포르쉐 타이칸,2.8 ~ 3.2km/kwh,전기,준대형,"세단,왜건외형전체>",2WD,12990,http://file.carisyou.com/upload/2021/11/18/FILE_202111180506182220.png,
2023 아우디 Q7(2세대),8.1 ~ 11.0km/ℓ,"가솔린,디젤",대형,SUV,4WD,1240,http://file.carisyou.com/upload/2019/09/30/FILE_201909301232489000.png,231.0
2023 GMC 시에라(5세대),6.9km/ℓ,가솔린,대형,픽업트럭,4WD,9500,http://file.carisyou.com/upload/2023/02/08/FILE_202302081033469850.png,426.0
2023 아우디 RS7(2세대),7.4km/ℓ,가솔린,준대형,해치백,4WD,17558,http://file.carisyou.com/upload/2021/07/28/FILE_202107280441377880.png,600.0
2023 아우디 A7(2세대),9.5 ~ 15.7km/ℓ,"가솔린,가솔린/하이브리드,디젤",준대형,해치백,4WD,1,http://file.carisyou.com/upload/2017/12/27/FILE_201712270421049650.png,245.0
2023 아우디 RS6(8세대),7.0km/ℓ,가솔린,중형,왜건,4WD,16958,http://file.carisyou.com/upload/2021/07/28/FILE_202107280430372490.png,600.0
2023 아우디 RSQ8,6.6km/ℓ,가솔린,대형,SUV,4WD,18450,http://file.carisyou.com/upload/2023/01/06/FILE_202301060247092550.png,600.0
2023 캐딜락 XT5,8.0km/ℓ,가솔린,중형,SUV,4WD,7710,http://file.carisyou.com/upload/2021/10/05/FILE_202110050526294330.png,314.0
2023 BMW X3 M,7.7km/ℓ,가솔린,준중형,SUV,4WD,12490,http://file.carisyou.com/upload/2021/11/18/FILE_202111181128120390.png,510.0
2023 BMW X4 M,7.8km/ℓ,가솔린,준중형,SUV,4WD,12920,http://file.carisyou.com/upload/2021/11/18/FILE_202111180308063450.png,510.0
2023 BMW X5 M(3세대),6.7km/ℓ,가솔린,중형,SUV,4WD,18360,http://file.carisyou.com/upload/2020/06/25/FILE_202006251014072310.png,625.0
2023 BMW X6 M(3세대),6.8km/ℓ,가솔린,중형,SUV,4WD,18670,http://file.carisyou.com/upload/2020/06/25/FILE_202006251015077170.png,625.0
2023 제네시스 일렉트리파이드 G80(RG3),4.3km/kwh,전기,준대형,세단,4WD,8392,http://file.carisyou.com/upload/2022/07/06/FILE_202207060220343320.png,
